Date,Vendor,Item,Qty,Unit Price,Line Total
2023-01-19,Party Time Balloon Co.,BALLOON ARCH,1,38.00,38.00
2023-01-19,Party Time Balloon Co.,Centerpiece,2,"$6.50","$13.00"
2023-01-19,Tonys Pizza,PARTY PIZZA,5,31.00,"$155.00"
1/19/23,Theme Party Decor Co,themed decor kit,1,32.00,32.00
1/23/23,Party Time Balloons,BALLOON ARCH,1,"$38.00","$38.00"
01/23/2023,Party Time Balloons,centerpiece,3,6.50,19.50
1/23/23,Tonys Pizza,PARTY PIZZA,3,"$31.00",93.00
1/23/23,THEME PARTY DECOR CO.,Themed Decor Kit,2,32.00,"$64.00"
01/09/2023,Party Time Balloons LLC,BALLOON ARCH,1,"$38.00",38.00
2023-01-09,Party Time Balloons LLC,centerpiece,5,6.50,32.50
1/9/23,Tony's Pizza Co.,PARTY PIZZA,2,31.00,62.00
1/9/23,Theme Party Decor,Themed Decor Kit,2,32.00,64.00
2023-01-09,Party Time Balloons,Balloon Arch,1,"$38.00",38.00
01/09/2023,Party Time Balloons,Centerpiece,7,6.50,45.50
01/09/2023,TONY'S PIZZA CO,PARTY PIZZA,4,31.00,124.00
01/09/2023,Theme Party Decor Co,Themed Decor Kit,1,32.00,32.00
2023-01-23,Party Time Balloons,BALLOON ARCH,1,38.00,38.00
1/23/23,Party Time Balloons,Centerpiece,3,"$6.50",19.50
01/23/2023,Tony's Pizza Co.,party pizza,3,31.00,93.00
1/23/23,Theme Party Decor Co,Themed Decor Kit,2,"$32.00",64.00
01/02/2023,Party Time Balloons LLC,BALLOON ARCH,1,"$38.00","$38.00"
2023-01-02,Party Time Balloons LLC,Centerpiece,3,6.50,"$19.50"
2023-01-02,TONY'S PIZZA CO,party pizza,3,31.00,"$93.00"
2023-01-02,Theme Party Decor Co,Themed Decor Kit,2,"$32.00",64.00
1/27/23,Party Time Balloon Co.,BALLOON ARCH,1,"$38.00",38.00
2023-01-27,Party Time Balloon Co.,centerpiece,4,6.50,26.00
01/27/2023,TONY'S PIZZA CO,PARTY PIZZA,5,"$31.00",155.00
01/27/2023,Theme Party Decor,themed decor kit,2,"$32.00",64.00
1/5/23,Party Time Balloons,balloon arch,1,38.00,38.00
2023-01-05,Party Time Balloons,centerpiece,5,"$6.50","$32.50"
1/5/23,Tony's Pizza Co.,PARTY PIZZA,4,31.00,"$124.00"
1/5/23,Theme Party Decor,Themed Decor Kit,2,32.00,64.00
01/28/2023,PARTY TIME BALLOONS,BALLOON ARCH,1,38.00,"$38.00"
1/28/23,PARTY TIME BALLOONS,Centerpiece,5,6.50,32.50
2023-01-28,TONY'S PIZZA CO,Party Pizza,4,31.00,124.00
1/28/23,Theme Party Decor,Themed Decor Kit,1,"$32.00",32.00
2023-01-23,PARTY TIME BALLOONS,balloon arch,1,"$38.00","$38.00"
2023-01-23,PARTY TIME BALLOONS,centerpiece,2,6.50,"$13.00"
1/23/23,TONY'S PIZZA CO,PARTY PIZZA,4,"$31.00","$124.00"
2023-01-23,Theme Party Decor Co,Themed Decor Kit,1,"$32.00",32.00
01/17/2023,Party Time Balloon Co.,BALLOON ARCH,1,"$38.00",38.00
01/17/2023,Party Time Balloon Co.,centerpiece,5,"$6.50","$32.50"
2023-01-17,Tony's Pizza Co.,party pizza,3,31.00,"$93.00"
01/17/2023,Theme Party Decor Co,themed decor kit,1,32.00,32.00
01/09/2023,Party Time Balloon Co.,Balloon Arch,1,38.00,38.00
2023-01-09,Party Time Balloon Co.,Centerpiece,6,6.50,39.00
1/9/23,Tonys Pizza,party pizza,3,31.00,"$93.00"
2023-01-09,THEME PARTY DECOR CO.,themed decor kit,2,32.00,64.00
01/12/2023,Party Time Balloons,BALLOON ARCH,1,"$38.00",38.00
1/12/23,Party Time Balloons,centerpiece,6,"$6.50","$39.00"
1/12/23,Tony's Pizza,Party Pizza,4,"$31.00","$124.00"
01/12/2023,Theme Party Decor,themed decor kit,1,"$32.00",32.00
1/3/23,ROAST HOUSE COFFEE,whole bean 5lb,2,"$46.49","$92.99"
2023-01-03,ROAST HOUSE COFFEE,snack pack,3,12.00,"$36.00"
01/19/2023,Roast House Coffee Co.,whole bean 5lb,3,"$44.67","$134.00"
01/19/2023,Roast House Coffee Co.,snack pack,2,"$12.00",24.00
01/24/2023,CleanCo Supply Inc,cleaning supplies,1,"$51.52","$51.52"
02/22/2023,Party Time Balloons LLC,BALLOON ARCH,1,"$38.00","$38.00"
2/22/23,Party Time Balloons LLC,Centerpiece,4,6.50,26.00
2023-02-22,TONY'S PIZZA CO,party pizza,4,31.00,124.00
2/22/23,Theme Party Decor Co,themed decor kit,1,"$32.00",32.00
2023-02-23,Party Time Balloons LLC,Balloon Arch,1,38.00,38.00
2023-02-23,Party Time Balloons LLC,centerpiece,4,6.50,26.00
2/23/23,Tony's Pizza Co.,PARTY PIZZA,2,31.00,"$62.00"
02/23/2023,Theme Party Decor Co,themed decor kit,2,"$32.00","$64.00"
2023-02-23,Party Time Balloons,balloon arch,1,"$38.00",38.00
2/23/23,Party Time Balloons,centerpiece,7,"$6.50",45.50
2/23/23,Tony's Pizza,Party Pizza,4,31.00,124.00
02/23/2023,THEME PARTY DECOR CO.,Themed Decor Kit,2,32.00,"$64.00"
02/17/2023,Party Time Balloons LLC,Balloon Arch,1,38.00,38.00
2/17/23,Party Time Balloons LLC,Centerpiece,6,6.50,39.00
02/17/2023,Tony's Pizza,PARTY PIZZA,2,"$31.00","$62.00"
2/17/23,Theme Party Decor,themed decor kit,2,32.00,64.00
2/1/23,Party Time Balloon Co.,balloon arch,1,"$38.00","$38.00"
02/01/2023,Party Time Balloon Co.,centerpiece,2,"$6.50",13.00
2023-02-01,TONY'S PIZZA CO,PARTY PIZZA,3,"$31.00",93.00
2023-02-01,Theme Party Decor Co,themed decor kit,1,32.00,"$32.00"
2/17/23,Party Time Balloons,Balloon Arch,1,38.00,"$38.00"
2023-02-17,Party Time Balloons,centerpiece,4,"$6.50","$26.00"
2/17/23,TONY'S PIZZA CO,PARTY PIZZA,5,31.00,"$155.00"
2023-02-17,THEME PARTY DECOR CO.,themed decor kit,2,"$32.00",64.00
02/12/2023,Party Time Balloon Co.,Balloon Arch,1,38.00,"$38.00"
2023-02-12,Party Time Balloon Co.,Centerpiece,5,6.50,"$32.50"
02/12/2023,Tony's Pizza Co.,PARTY PIZZA,4,"$31.00","$124.00"
2/12/23,Theme Party Decor,themed decor kit,2,32.00,"$64.00"
2/9/23,PARTY TIME BALLOONS,Balloon Arch,1,38.00,38.00
2023-02-09,PARTY TIME BALLOONS,centerpiece,3,6.50,"$19.50"
2/9/23,Tony's Pizza,PARTY PIZZA,4,31.00,"$124.00"
2023-02-09,Theme Party Decor,themed decor kit,2,32.00,"$64.00"
2023-02-19,Party Time Balloons LLC,Balloon Arch,1,38.00,38.00
02/19/2023,Party Time Balloons LLC,centerpiece,7,6.50,45.50
02/19/2023,Tony's Pizza Co.,Party Pizza,3,31.00,93.00
2/19/23,THEME PARTY DECOR CO.,Themed Decor Kit,1,32.00,32.00
2023-02-18,Party Time Balloons LLC,Balloon Arch,1,38.00,38.00
2023-02-18,Party Time Balloons LLC,Centerpiece,3,6.50,19.50
2023-02-18,Tonys Pizza,party pizza,4,31.00,"$124.00"
02/18/2023,THEME PARTY DECOR CO.,Themed Decor Kit,1,32.00,32.00
2/12/23,Party Time Balloons,Balloon Arch,1,"$38.00","$38.00"
02/12/2023,Party Time Balloons,Centerpiece,7,6.50,45.50
2023-02-12,Tony's Pizza,Party Pizza,5,31.00,"$155.00"
2/12/23,Theme Party Decor Co,themed decor kit,1,32.00,"$32.00"
2023-02-26,Party Time Balloons,BALLOON ARCH,1,38.00,38.00
2023-02-26,Party Time Balloons,Centerpiece,7,"$6.50","$45.50"
2023-02-26,Tony's Pizza,party pizza,2,"$31.00",62.00
2023-02-26,Theme Party Decor Co,Themed Decor Kit,1,32.00,32.00
02/07/2023,PARTY TIME BALLOONS,Balloon Arch,1,"$38.00",38.00
2/7/23,PARTY TIME BALLOONS,Centerpiece,6,6.50,39.00
2023-02-07,Tony's Pizza Co.,PARTY PIZZA,4,31.00,124.00
2/7/23,THEME PARTY DECOR CO.,themed decor kit,1,32.00,"$32.00"
02/05/2023,Roast House Coffee,Whole Bean 5lb,2,46.95,"$93.90"
2023-02-05,Roast House Coffee,snack pack,2,"$12.00","$24.00"
2/17/23,Roast House Coffee Co.,whole bean 5lb,2,"$46.50","$93.01"
2/17/23,Roast House Coffee Co.,Snack Pack,3,"$12.00","$36.00"
2/25/23,CleanCo Supply Inc,cleaning supplies,1,48.33,48.33
02/16/2023,Playworks Toys,Play Equipment,1,"$58.75","$58.75"
03/01/2023,Party Time Balloons LLC,BALLOON ARCH,1,38.00,38.00
2023-03-01,Party Time Balloons LLC,centerpiece,5,"$6.50",32.50
3/1/23,TONY'S PIZZA CO,party pizza,4,31.00,124.00
2023-03-01,Theme Party Decor,themed decor kit,2,"$32.00",64.00
2023-03-23,PARTY TIME BALLOONS,Balloon Arch,1,38.00,38.00
03/23/2023,PARTY TIME BALLOONS,centerpiece,5,"$6.50","$32.50"
03/23/2023,Tonys Pizza,party pizza,4,"$31.00","$124.00"
2023-03-23,Theme Party Decor,Themed Decor Kit,2,32.00,64.00
2023-03-21,Party Time Balloons,balloon arch,1,"$38.00","$38.00"
2023-03-21,Party Time Balloons,centerpiece,6,"$6.50","$39.00"
3/21/23,Tony's Pizza,party pizza,5,"$31.00",155.00
2023-03-21,Theme Party Decor Co,Themed Decor Kit,2,"$32.00",64.00
3/9/23,Party Time Balloons,Balloon Arch,1,"$38.00",38.00
3/9/23,Party Time Balloons,Centerpiece,3,6.50,"$19.50"
3/9/23,Tonys Pizza,PARTY PIZZA,3,"$31.00",93.00
03/09/2023,Theme Party Decor,Themed Decor Kit,2,"$32.00","$64.00"
2023-03-15,Party Time Balloons LLC,BALLOON ARCH,1,38.00,"$38.00"
2023-03-15,Party Time Balloons LLC,centerpiece,3,6.50,19.50
3/15/23,TONY'S PIZZA CO,party pizza,4,31.00,124.00
3/15/23,Theme Party Decor,Themed Decor Kit,2,32.00,64.00
03/10/2023,Party Time Balloons LLC,balloon arch,1,38.00,"$38.00"
2023-03-10,Party Time Balloons LLC,Centerpiece,5,6.50,"$32.50"
